SECCION,DIST_FED,DIST_LOCAL
1,3,15
2,3,15
3,3,15
4,3,15
5,3,15
6,3,15
7,3,15
8,3,15
9,3,15
10,3,15
11,3,16
12,7,16
14,7,16
15,3,16
16,3,16
17,3,16
18,3,16
19,3,16
20,3,15
21,3,15
22,3,15
23,3,15
24,3,15
25,3,15
26,3,15
27,3,15
28,3,16
29,3,16
30,3,16
31,3,16
32,3,16
33,3,16
34,3,16
35,3,16
36,3,16
37,3,16
38,3,16
39,3,16
40,3,16
41,3,16
42,3,16
43,3,15
44,3,15
45,3,15
46,3,15
47,3,15
48,3,15
49,3,15
50,3,15
51,3,15
52,3,15
53,3,15
54,3,15
55,3,16
56,3,16
57,3,16
58,3,16
59,3,16
60,3,16
61,3,16
62,3,16
63,3,16
64,3,16
65,3,16
66,3,16
67,3,15
68,3,16
69,3,16
70,3,16
71,3,16
72,3,16
73,3,16
74,3,16
75,3,16
76,3,16
77,3,16
78,3,16
79,3,16
80,3,16
81,3,16
82,3,16
83,3,16
84,3,16
85,3,16
86,3,16
87,3,15
88,3,16
89,3,16
90,3,16
91,3,16
92,3,16
93,3,16
94,3,16
95,3,16
96,3,16
97,3,16
98,3,16
99,3,16
100,3,16
101,3,16
102,3,16
103,3,16
104,3,16
105,3,16
106,3,16
107,3,16
109,3,16
110,3,16
111,3,15
112,3,15
113,3,15
114,3,16
115,3,16
116,3,15
117,3,15
118,3,16
119,3,16
120,3,16
121,3,16
122,3,15
124,3,15
125,3,15
127,3,15
128,7,15
129,7,15
130,3,15
131,3,15
132,3,15
133,3,15
135,3,17
136,3,17
137,3,17
138,3,17
139,3,17
140,3,17
141,3,17
142,3,17
143,3,17
144,3,17
145,3,17
146,3,17
147,3,17
148,3,17
149,3,17
150,3,17
151,3,17
152,3,17
153,3,17
154,3,17
155,3,17
156,3,17
157,3,17
158,3,17
159,3,17
160,3,17
161,3,17
162,3,17
163,3,17
164,3,17
165,3,17
166,7,15
167,7,15
168,7,15
169,7,15
170,7,15
171,7,15
172,7,16
173,7,15
174,3,15
175,3,15
176,3,17
177,3,17
178,3,17
179,3,17
180,3,17
181,3,17
182,3,17
183,3,17
184,3,17
185,3,17
186,3,17
187,3,17
188,3,17
189,3,17
190,3,17
191,3,17
192,3,17
193,3,17
194,3,17
195,3,17
196,3,17
197,3,17
198,3,17
199,3,17
200,3,17
201,3,17
202,3,17
203,3,17
204,3,17
206,3,15
207,3,15
208,3,16
209,3,15
210,3,17
211,2,4
212,2,4
213,2,4
214,2,4
215,2,4
216,2,4
217,2,3
218,2,3
219,2,3
220,2,3
221,2,3
222,2,3
223,2,3
224,2,3
225,2,3
226,2,3
227,2,3
228,2,4
229,2,4
230,2,4
231,2,4
232,2,4
233,2,4
234,2,4
235,2,4
236,2,4
